PassengerId,Survived
892,1
893,0
894,1
895,0
896,0
897,0
898,1
899,0
900,1
901,1
902,1
903,1
904,0
905,0
906,1
907,1
908,1
909,1
910,0
911,0
912,1
913,1
914,1
915,1
916,1
917,0
918,0
919,1
920,1
921,0
922,0
923,1
924,0
925,0
926,1
927,1
928,0
929,0
930,0
931,0
932,1
933,1
934,1
935,1
936,1
937,1
938,0
939,1
940,1
941,0
942,1
943,1
944,1
945,0
946,1
947,0
948,1
949,1
950,0
951,1
952,1
953,0
954,1
955,0
956,0
957,1
958,0
959,0
960,1
961,0
962,0
963,1
964,0
965,0
966,1
967,1
968,1
969,0
970,0
971,0
972,0
973,0
974,1
975,1
976,1
977,1
978,0
979,0
980,0
981,0
982,0
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,0
991,1
992,1
993,0
994,1
995,1
996,0
997,0
998,1
999,1
1000,0
1001,0
1002,1
1003,0
1004,0
1005,1
1006,1
1007,0
1008,1
1009,0
1010,1
1011,0
1012,0
1013,0
1014,1
1015,1
1016,1
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,1
1024,0
1025,0
1026,1
1027,1
1028,1
1029,0
1030,0
1031,0
1032,1
1033,1
1034,1
1035,0
1036,0
1037,1
1038,1
1039,1
1040,0
1041,0
1042,1
1043,1
1044,1
1045,0
1046,1
1047,1
1048,1
1049,0
1050,0
1051,0
1052,0
1053,1
1054,1
1055,1
1056,0
1057,0
1058,0
1059,0
1060,1
1061,0
1062,1
1063,1
1064,0
1065,1
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1074,0
1075,1
1076,1
1077,0
1078,1
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,1
1086,0
1087,1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,1
1101,1
1102,0
1103,1
1104,0
1105,1
1106,1
1107,1
1108,0
1109,1
1110,1
1111,1
1112,0
1113,1
1114,1
1115,1
1116,1
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,1
1124,0
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,0
1132,1
1133,1
1134,0
1135,1
1136,0
1137,1
1138,1
1139,0
1140,1
1141,1
1142,0
1143,1
1144,0
1145,0
1146,0
1147,1
1148,0
1149,1
1150,1
1151,1
1152,0
1153,1
1154,1
1155,0
1156,1
1157,1
1158,1
1159,1
1160,0
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,1
1178,1
1179,0
1180,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,0
1187,1
1188,0
1189,1
1190,0
1191,1
1192,1
1193,1
1194,0
1195,0
1196,0
1197,1
1198,1
1199,0
1200,1
1201,0
1202,0
1203,1
1204,1
1205,0
1206,1
1207,0
1208,1
1209,0
1210,1
1211,1
1212,1
1213,1
1214,0
1215,1
1216,1
1217,1
1218,0
1219,1
1220,0
1221,0
1222,1
1223,1
1224,1
1225,0
1226,1
1227,0
1228,0
1229,1
1230,0
1231,1
1232,0
1233,1
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,1
1242,1
1243,0
1244,0
1245,0
1246,0
1247,0
1248,1
1249,1
1250,1
1251,0
1252,1
1253,0
1254,1
1255,0
1256,0
1257,0
1258,1
1259,0
1260,1
1261,0
1262,0
1263,1
1264,1
1265,0
1266,1
1267,1
1268,0
1269,0
1270,0
1271,1
1272,1
1273,1
1274,0
1275,0
1276,0
1277,0
1278,1
1279,0
1280,1
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,1
1289,0
1290,1
1291,1
1292,1
1293,0
1294,1
1295,1
1296,1
1297,1
1298,0
1299,1
1300,0
1301,0
1302,0
1303,0
1304,0
1305,1
1306,1
1307,1
1308,1
1309,1
